name,g_shift,r_shift,time
emir.tif,"(24, 48)","(44, 80)",27.205092906951904
italil.tif,"(22, 38)","(36, 76)",28.883665084838867
monastery.jpg,"(2, -3)","(2, 3)",0.743107795715332
church.tif,"(4, 24)","(-4, 58)",28.36761498451233
three_generations.tif,"(14, 50)","(12, 112)",25.355535984039307
lugano.tif,"(-16, 40)","(-28, 92)",31.886380910873413
melons.tif,"(10, 82)","(14, 178)",31.372591733932495
lastochikino.tif,"(-2, -4)","(-8, 76)",26.26083493232727
tobolsk.jpg,"(3, 3)","(3, 6)",0.7391970157623291
icon.tif,"(18, 40)","(22, 90)",26.494449853897095
cathedral.jpg,"(2, 5)","(3, 12)",0.7356929779052734
siren.tif,"(-6, 48)","(-24, 96)",29.829991102218628
self_portrait.tif,"(28, 78)","(36, 176)",28.259829998016357
harvesters.tif,"(18, 60)","(14, 124)",26.546422004699707
